,attribution,count
South,-0.09450380097919206,1
isolate,0.06785871358524878,1
difficult,-0.16510681700671262,1
That,-0.1600945044835123,1
itemize,-0.11375784359737835,1
such,-0.013847865615841073,2
likely,-0.1461486202807307,2
call,-0.01673320593124883,10
Members,-0.14489977586663016,1
scrutiny,-0.1411658234358824,1
citizen,-0.022530105444946928,2
increase,-0.022107348468967086,2
cow,0.057229721802788416,1
mean,-0.048250959816149394,2
force,-0.043400531154983,2
poll,0.002401766712441255,2
nice,0.06292374655044798,1
make,0.012777531896203868,7
strife,0.03585634091682349,1
fuel,0.052783694166573455,2
voice,-0.34276931743527517,1
skepticism,0.08078352808894336,1
use,-0.00391914836545177,2
conservative,0.04950278119636463,5
miracle,0.031318778923764314,1
drug,0.024676070752019337,1
ghoul,0.3268984949725911,2
provoke,-0.11562053127931247,2
police,-0.09048377944716067,3
Limbaugh,0.10012694992080373,1
involves,-0.09537406061245882,1
detention,-0.08890058423322714,1
illegal,0.09859385431482404,3
limelight,0.08842948189963398,1
moment,0.07841563924699504,1
mob,0.08401304243312119,2
inertia,0.0595180777421306,1
bureaucratic,0.0584313638780859,1
ration,0.042743749724840324,1
face,-0.03451649175922726,2
twist,0.051080342913374446,2
hatred,0.02703945685867108,2
nationalist,0.0537655267224871,3
from,-0.060051933411279235,2
expose,-0.2577782074985383,1
appeal,-0.08314506335191944,2
Outraged,0.15525925031886825,1
say,-0.17245286801940654,16
ruling,-0.12782833408953437,1
not,-0.015190009356319444,16
truly,0.018583308327751114,2
profit,0.014509871335470798,1
overhaul,-0.008394366475570412,1
suggest,-0.11609906891868621,4
report,-0.13099723859288612,5
take,-0.06974330733874613,4
aware,-0.09773154480439131,1
fiasco,0.02653871476186413,1
president,-0.009001166521095954,7
underlie,0.024752847866203125,1
bad,0.09119124824677213,4
it,0.0008269485199029322,7
people,0.0002964645186396423,4
push,0.09522809766275703,2
nothing,0.05704911201749843,4
anyone,0.04427827113853506,1
this,0.09378768571284847,3
confidence,-0.029999842083157226,1
immigration,0.11853998692494044,1
hellish,0.08491256694479282,1
Our,0.07442571983687603,1
This,-0.010473175095334044,4
scare,0.01653498619722058,1
order,0.05972098229997547,2
hysteria,0.015256918667292497,1
corporation,-0.04720889887742477,2
Greenpeace,0.010291291966276888,1
disgrace,0.08110590236330568,1
camp,0.04111283906535659,1
ignite,-0.036073514997671495,1
tent,0.026753681562572913,1
descent,0.13202305260204827,1
Hollywood,0.08292499119868788,2
upcoming,-0.08480895218087034,1
openly,-0.06821116278826914,1
dichotomy,0.0236017141706371,1
false,0.09501922901410087,4
first,-0.14623213360014065,3
adjustment,-0.18477713438785676,1
Last,-0.15812046640362698,1
massive,0.11992295547669862,5
Save,-0.161251268084827,1
Americans,0.048020894359176516,8
Bernie,0.06534839384306482,2
Medicare,-0.0826330346331364,1
terrorist,0.10118551871818329,5
no,0.027508905783930178,5
left,0.0441418497105824,10
know,-0.044106891430869766,2
sting,0.4953632259550165,1
Attorney,0.14038931255165496,1
drew,-0.14656610747466398,2
more,-0.05487434425137118,1
aggressively,0.04061079516141372,2
hang,0.05736477743848874,1
predictable,0.08453560097338474,2
inconceivable,0.04606023618222283,1
player,-0.1070900978518369,2
humiliate,0.3181553716931626,1
in,-0.08301680706652934,31
brilliant,0.13897864367228493,1
priority,-0.04773995497364897,1
that,-0.0577324874984798,16
18,-0.03929970034760882,1
suspend,-0.1012277773379042,2
Rourke,-0.10020584559005588,1
blast,0.11498922975944176,2
vomit,0.04594222263773619,1
splurge,0.04312010748875196,1
possibly,0.040625381776967236,1
Black,0.0330856369015135,3
transgender,0.0036521834117014865,3
madness,0.04880101969526582,3
point,0.03497803393443763,2
Destruction,0.034637722250768534,1
barely,0.027806278242686257,1
prefer,0.02723050477943151,1
away,0.026828663300386496,1
its,0.015534402879139438,3
protest,0.014964598053889226,1
abuse,0.08008182972220092,1
explain,-0.014656530985133738,3
up,-0.056937407427648135,6
weak,-0.1494284195417996,1
dollar,-0.14122774062514695,1
toxic,0.013491175361434408,1
affirmation,0.009295170517645165,1
demagogue,0.021382659123199137,2
slam,0.11747104061546483,3
Even,0.12340929522069392,1
sport,-0.047955460290390356,1
perverse,0.09528374537679635,1
care,0.0565290320123395,1
Abbott,0.05544190844316408,1
follow,-0.1038051982487539,3
donor,-0.04516173972884714,2
consensus,0.030515958706111047,1
shit,0.052600335756136075,2
There,0.03401938524202985,1
Court,-0.015093075992434696,1
plat,0.02787864024510031,1
poverty,0.023141289689964473,1
yet,0.017938502694724495,2
He,-0.04840307331045196,2
construct,0.017920019290310132,1
politician,0.08847806208001817,2
laugh,0.07995446251041045,2
unleash,0.07080647148587871,1
Trumpism,0.12040178606426494,2
challenge,-0.15381610488647834,2
resist,0.14855325234566116,1
urge,-0.13927586928693395,1
agenda,0.03519472897609379,3
illegally,0.04286629401143241,1
tremendous,0.0359964857628039,1
Parenthood,0.11356039617511499,1
few,0.03737542510481776,3
if,-0.09825433351771799,5
improve,-0.09752779656266826,1
gain,-0.09064597251956935,1
investment,-0.06816349062539073,1
sound,0.05776645263192889,2
business,0.10487099198935684,2
patriotism,0.026736295154734125,1
guilt,0.019593835017104752,1
nuanced,0.01047575630862555,1
sacrosanct,0.0523777286971535,1
will,-0.0004142287790460143,2
policy,0.043443580248274785,2
democrat,0.021475083795311607,1
blasting,0.01724492335559396,1
science,0.01606590957658592,3
raving,0.011996196427463222,1
praise,0.1974783396084952,1
footage,-0.1324456549353564,1
suggests,-0.09353571112261011,1
weren,-0.1492009679923681,1
simply,0.09591686384342143,2
opponent,-0.09486248031059741,3
decade,0.09763388263984317,1
paint,0.03916548393321431,1
Or,0.02977565556807418,1
criticism,-0.080754042264001,3
