,attribution,count
be,0.08326730587994301,67
unnecessary,0.108023523769917,2
people,0.09444035612995677,9
slap,0.12534825946384479,1
mandate,0.11203538594294452,1
among,-0.12602637678937392,3
Polls,-0.14389833410154604,1
the,0.09559334741466007,69
ideology,0.08389767213507686,2
unpopular,0.06800191022511293,3
socialism,0.1653869066005426,1
communism,0.1539348359507223,1
down,0.12983321336967452,5
and,0.07146789887214997,19
t,0.0996019941426826,5
kill,0.23823450511016717,2
GOP,0.12113975021591761,4
Court,-0.15824394113521517,1
just,0.1083379395492167,5
Obamacare,0.11944517363848908,2
swipe,0.24441066302657083,1
action,0.14164147814724007,2
worrier,0.14960609734259925,1
Australia,0.1344982539885568,1
prejudice,0.13025364645329607,1
culture,0.11498209622540662,3
man,0.10069545343678181,2
racism,0.24658897284469283,3
cancel,0.014034443540209333,2
claim,0.12739593060940518,13
abortion,0.11016489005554844,10
anti,0.11161665086787827,10
trot,0.06797756722228913,1
Obama,0.11519487754143543,4
damage,0.024306972658795365,2
run,0.12325821041978136,2
bankruptcy,0.09386402837578975,1
they,0.08575175979912597,14
life,0.1019870164381017,4
Abortion,0.14729082771764065,2
hurt,0.10016098894090938,2
woman,-0.017128099247425338,3
preborn,-0.043301899960795844,1
selflessness,0.22297504679364044,1
economic,0.20943172854017433,1
s,0.06183258951361734,20
challenged,-0.09552105356153744,1
counterpart,-0.08139215702993763,1
he,0.09473209170529734,9
believe,0.07327341912686795,1
nationalism,0.08248423839436628,2
into,0.08438739585482301,2
so,0.11292381546557853,7
nonsense,0.5757438772358607,1
course,0.10397354812892162,6
as,0.05486001303673728,16
criminal,0.28561945485271184,2
would,0.06876563349996556,3
entirely,0.07936811737477173,2
The,0.06688202777128718,9
right,0.11111021351335455,11
for,0.04024486747101387,10
border,0.03976818267814264,1
policy,0.09890275328414476,6
say,-0.13004543002240412,15
Trump,0.1466114772733678,68
actually,0.1801763072602384,1
assembly,-0.11489992605764983,1
soil,0.09585788085969121,1
foreign,0.09166567094227436,1
on,0.018702290139737288,11
launch,0.08581117774060888,1
a,0.03407147726935072,24
dictator,0.18989185153683125,4
world,0.05817191019708595,3
vaccine,0.11365814384373278,5
first,-0.09344361612130168,7
paid,0.11438057077546195,1
endless,0.15825551958296993,3
dehumanize,0.12346560996712219,2
an,0.06310888690388802,4
silence,0.07359105638880926,1
all,0.08657925985577376,7
child,0.03893391796088742,3
gather,-0.042060585975412616,1
outbreak,-0.07836854253561441,3
it,0.07748071446571338,7
unfit,0.0795188398256037,1
unleash,0.07558273140708567,1
make,0.06558490603118088,5
Bannon,0.12908577208803018,2
technology,0.09709629002582741,1
Silicon,0.06503478181576249,1
Friday,-0.10677022425300269,5
vitriol,0.08144185162586322,1
Some,0.05449545056691758,1
their,0.09036363278728797,14
everything,0.03592263640478765,1
flation,0.1268881620779588,1
junk,0.11907681656937764,2
Americans,0.10284671011489346,5
era,0.09873806700486602,1
single,0.09852072983644199,1
philanthropy,0.1947388313831501,1
billionaire,0.1865004559894537,4
place,0.04110812014803002,2
Bezos,0.1150684455054221,1
contemptuous,0.08746204282596892,1
hat,0.08559524036888465,1
MAGA,0.08270126241958434,1
least,0.028170552410933546,2
dangerous,0.10910069399229708,4
stop,0.12784397986790885,2
alter,0.12104779920519433,1
hyper,0.1080018087879935,1
death,0.055736798182627244,5
deportation,0.15068846830956378,1
sentence,0.13904517765324395,1
deliver,0.11958774184651749,1
you,0.09267865356460082,2
plutocrat,0.02795426658663541,1
exploit,0.027507563991710792,1
about,0.05655393448463734,5
gun,0.14363155229121086,4
to,0.06183677232998568,32
It,0.12750769810060344,2
control,0.11020419016083009,3
medium,0.09822153692576759,12
propaganda,0.15494147225425642,5
not,0.09665403829180369,12
condition,0.05110525900983936,1
that,0.08043175688546046,28
bungling,0.1600051906175149,2
get,0.10424329506024044,5
mainstream,0.19411442903332088,3
