,attribution,count
wealthy,0.0794291446419841,2
be,0.00800179267456852,142
reach,-0.12114668122403333,2
already,0.10135018742349533,6
his,0.077238270544002,49
sign,-0.15153674516022747,4
Feb,-0.08875250951227284,1
operation,-0.11010738485671119,2
Friday,-0.10327307211215128,10
Trump,0.09308911581097577,113
concern,-0.11133246737109008,14
information,-0.06931693848396404,6
qualification,-0.012136735888216295,2
Russia,0.04343711715664132,5
extent,-0.0501938843522623,1
Democrats,0.1358848469059032,37
Caves,0.26734959325779006,1
Wall,0.10236952422713769,1
Reopen,-0.07440636296949692,1
Agrees,-0.07016101742395255,1
strain,-0.3019824584492567,2
complain,-0.04091659988380052,9
that,-0.06590180423547222,99
marijuana,0.031170633258244217,3
He,-0.015206660023373253,34
adviser,-0.11290744045169594,9
sober,0.07609659830326679,1
Romney,0.07594541032153553,12
serious,0.07929025550987695,3
Ryan,0.07790655299048971,11
say,-0.1363515435184498,250
airbrush,0.2013271813731905,1
Republicans,0.10639058210739287,24
election,0.10325016585917654,7
Impeachment,0.2459064797766654,1
divide,0.02268205711327155,2
WASHINGTON,-0.12354457953212707,11
Washington,0.03988254998904686,6
hang,0.037126350560557304,1
problem,0.11600955132824546,1
party,0.07160205741475344,6
Midwesterners,0.08528583293525972,1
s,0.036955546679454096,49
gutting,0.24470773362791912,1
Catholic,0.11606944275978748,7
teach,-0.08415230418571364,1
commend,-0.21954396491135203,1
finding,-0.11294991973424914,1
contribution,-0.0998260356251706,1
under,-0.10963284004652299,5
home,-0.08877503078729412,1
equally,-0.07983554345356783,1
state,-0.0724200854365306,13
Human,0.054717879393334216,1
unfit,0.24958744442414693,1
more,0.07881149086871941,12
give,-0.018799696943923437,5
Paul,0.06030802704954956,4
Gideon,0.07627273710176503,1
The,-0.02564534397145008,35
refer,-0.08646179437129911,5
comment,-0.11329432865854773,13
woman,0.12384025508269704,13
about,-0.04433325158562939,24
In,-0.09353014156264125,19
declare,-0.06054837592743585,4
to,-0.037989517958178155,97
emergency,-0.07839334571364033,2
absolute,0.05487261439981868,1
record,-0.0573593503719204,4
a,-0.007003929577912841,83
arrest,-0.06242683251888419,4
charge,-0.06537076832875656,6
as,-0.07494704694310302,30
Democratic,0.12021694135962542,14
only,0.07980967657102428,16
deportation,0.051196677285806735,2
ever,0.09065672493001627,6
vote,0.010971503392326696,9
