,attribution,count
country,0.07476484652766165,8
interest,0.10496191889834527,3
far,0.04495619652058608,7
the,0.03469418911237205,169
president,0.022420771962518408,25
sign,-0.0350061393675554,3
furlough,-0.06585785836244529,2
or,-0.0015315767492808986,9
day,-0.052569764195935356,5
Friday,-0.08888582857284186,35
campaign,0.017038908068062,14
information,-0.08538007945882702,2
Trump,0.1289772319155749,126
Jr,0.0513398591717732,2
candidate,-0.05111107530275326,5
Democrats,0.15041838648453404,29
Caves,0.13103098009003153,1
Government,0.0944965575562208,1
Wall,0.05929299034588858,1
arrest,-0.05630770739581224,4
that,-0.02092985936978773,74
his,0.07846832553847599,52
marijuana,0.03497827219366489,3
have,0.03117878167893797,71
Romney,0.12046197534063881,17
Fehrnstrom,-0.07766226761084266,1
tweet,-0.09494095632660056,18
serious,-0.027684202898308086,3
sober,0.044225871750563674,1
airbrush,0.09751318122949555,1
say,-0.13196265395624412,367
release,-0.08351592067545284,12
during,-0.046886436729313086,4
welcome,-0.044247453040181114,1
Impeachment,0.28007792550815835,1
always,0.06816148783152025,3
over,0.10157117397725388,15
heavily,0.1353276223372328,1
WASHINGTON,-0.08265697754380963,8
Pelosi,0.13952940638015085,15
Midwesterners,0.172074332761854,1
problem,0.1441580797283845,2
party,0.1072209445190758,8
lack,0.11193282307435552,4
argues,-0.18260608690627686,2
gutting,0.169165058906859,1
program,-0.04131604170181329,6
Ryan,0.09538390854541917,9
commend,-0.07692600131027258,1
contribution,-0.06206060678430795,1
but,0.047254154223023044,8
finding,-0.10204172538807832,4
Campaign,-0.024927128772065703,1
gay,0.007881445950748694,3
nation,0.07826631399905958,10
unfit,0.05403229158219884,1
statement,-0.07212989886781739,34
office,-0.05756586006712401,10
night,-0.047698268641229974,5
in,-0.05978351028114984,62
The,0.003474951796627895,47
comment,-0.07213714993982644,12
CNN,-0.07679211337506588,6
to,0.02679974118623777,106
accord,-0.05289997864043613,14
In,-0.06644719633826912,15
record,-0.019055453254069394,7
1991,-0.027614624611639625,1
charge,-0.0006443622289622891,6
as,-0.05310122349023718,27
Donald,0.0796177106348487,12
number,-0.02174504579272815,3
allow,0.00219533296729911,4
they,0.09280656319036658,24
life,0.03530552177278273,4
fail,0.09846622502311472,15
try,0.1430878706591171,8
They,0.1287028775046449,10
economic,0.0975978315106968,5
other,-0.004321786169900481,3
scant,0.2336312443001376,2
with,0.04656794373007643,20
understand,0.07319713584821004,3
beloved,0.1018494982511302,1
ego,0.4324281331292535,1
really,0.060854122962080405,4
He,-0.031387801157869884,44
an,0.015196085204881337,14
despicable,0.0628107998843876,1
decision,-0.05887393845396389,11
lion,-0.04563092267382807,2
slaughter,0.035866235298940466,1
style,0.1702686023905498,2
stoke,0.1446310125168947,1
unclear,-0.12163268675307996,5
frenzy,0.12707637511356704,1
Apprentice,0.10385905060224863,1
write,-0.12029759934819952,16
R,-0.0508554351952202,7
dress,-0.023507130542113088,3
deserve,0.05592817113314014,5
he,-0.013406781189976034,50
incompetence,0.04291229049183868,1
I,-0.08154842811511437,41
there,-0.04885422800455006,7
be,0.04121521331087003,140
Obama,0.12735993292441317,55
President,0.02330169362466062,13
spokeswoman,-0.12187054980009529,4
Lis,-0.10885430791115806,1
Mitt,0.10404185555702963,2
dishonest,0.16253282880807926,3
waste,0.12773830604707745,5
call,-0.08287612223163657,51
Ky,-0.057496758660684134,2
resolution,-0.1065770751159155,3
AARP,0.15261167318159666,3
gorilla,0.18939658535632906,1
not,0.09686196635263392,56
senior,-0.11859957055293549,2
Capitol,-0.04909850402514243,2
after,-0.05422548196763471,15
bad,0.16999592608579203,13
It,0.012106741166337821,23
Chuck,0.08571397716208208,1
post,-0.06990501896066247,8
show,0.04005180381355241,12
hand,0.013120513778997355,4
reportedly,-0.07389229948626813,3
insufficiently,0.13225221426329928,3
soundly,0.13312164562144996,2
back,0.044192005277555325,6
hammer,0.11910440675407508,3
of,0.03235143256121148,77
question,-0.10424803714852458,12
offer,-0.11140766823809754,6
dishearten,0.1267515074030857,2
don,0.10153557979369565,15
fact,0.1532561721299366,8
ironclad,0.12939552681500402,3
assail,0.20593927760693517,5
Rubio,0.060646043941642996,9
Ginsburg,-0.04501460161737861,5
told,-0.1059733259879603,42
interview,-0.08366589351774827,15
impact,-0.06881097050095852,3
devastate,0.11070895409014782,1
bishop,-0.02339402307008967,4
a,0.026305300033616297,103
poor,-0.02848899937345196,1
prison,-0.10056411774195408,1
by,-0.0009444408966768798,16
punishable,-0.05306309433823412,1
This,0.03814577635555908,14
howl,0.1943667075248889,1
Democratic,0.09813843656473646,4
You,0.09388303795356155,6
Republicans,0.11208816634365373,33
boost,-0.14995851365244325,1
generous,-0.11619009264754082,1
who,0.02936950093103881,30
class,0.18295278354200276,4
suppose,0.14796777165166541,2
Beck,0.11220153199465058,2
and,0.04028184166209243,66
stomach,-0.10340548479516545,1
make,0.0848020851965874,10
my,-0.03742629398655127,2
sick,0.022297953675462997,2
That,0.08791839787027705,9
left,0.10113097067633632,2
Cantor,0.09591791960274272,3
House,-0.05737722594012359,13
actually,0.12622023406180902,6
